Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_494.jpg;0;-0.8007457;0;-0.2246435;112.7149;151.4923;359.0027;66.53883;359.7762
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_561.jpg;0;-0.6012922;0;-0.2746587;112.7063;151.4745;358.8035;66.52695;359.9213
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_627.jpg;0;-0.4006704;0;-0.3063092;112.6987;151.4568;358.7424;66.66678;0.07887222
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_694.jpg;0;-0.2009817;0;-0.3254769;112.6909;151.435;358.914;66.52158;0.08890732
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_761.jpg;1.511047;-0.000192523;0;-0.3370742;112.6845;151.4197;359.1045;66.33563;0.08141777
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_827.jpg;4.482846;0;0;-0.3385961;112.678;151.4038;359.282;66.25776;0.07270431
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_894.jpg;7.483049;0;0;-0.3373553;112.6699;151.3825;359.524;66.06163;0.04885306
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_961.jpg;10.48082;0;0;-0.3358361;112.6642;151.3665;359.7028;65.84461;0.02405325
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_027.jpg;13.48142;0;0;-0.3334179;112.6587;151.3503;359.874;65.57278;-0.004068149
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_14_094.jpg;15;0;0;-0.3309168;112.6516;151.3286;0.08454928;65.1356;359.9573
